unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,obs,n
62,L. neivai,,L_neivai,Argentina,Formosa,Laguna Naineck,,2007,,,58º07’12”,25º12’53”,,,,,-58.12,-25.214722,1,coordinates,Cited in ref,Salomón et al. 2008b,Precise coordinates given in table,
63,L. neivai,,L_neivai,Argentina,Formosa,Laguna Naineck,,2007,,,58º07’12.5”,25º12’58.2”,,,,,-58.120139,-25.216167,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
64,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Bermejo river,2001,,0,60° 50’ LO,25° 01’LS,,,,,-60.840833,-25.020556,2,,,Salomón et al. 2002a,,
65,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Bermejo River,2002,,0,"60º52’62""LW","25º01’12""LS",,,,,-60.8672,-25.02,1,coordinates,Cited in ref,Salomón et al. 2006a,,
66,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Bermejo River,2002,,0,"60º50’27""LW","25º01’14""LS",,,,,-60.840833,-25.020556,1,coordinates,Cited in ref,Salomón et al. 2006a,,
67,L. neivai,,L_neivai,Argentina,Formosa,Las Lomitas,Bermejo river,2001,,,60° 50’ LO,25° 01’LS,,,,,-60.840833,-25.020556,2,,,Salomón et al. 2002a,,
68,L. neivai,,L_neivai,Argentina,Formosa,Las Lomitas,Bermejo River,2002,,,"60º52’62""LW","25º01’12""LS",,,,,-60.8672,-25.02,1,coordinates,Cited in ref,Salomón et al. 2006a,,
69,L. neivai,,L_neivai,Argentina,Formosa,Las Lomitas,Bermejo River,2002,,,"60º50’27""LW","25º01’14""LS",,,,,-60.840833,-25.020556,1,coordinates,Cited in ref,Salomón et al. 2006a,,
70,L. neivai,,L_neivai,Argentina,Formosa,Las Lomitas,Deforestación,2001,,,60° 36’LO,24° 40’ LS,,,,,-60.6083,-24.675,2,,,Salomón et al. 2002a,,
71,L. neivai,,L_neivai,Argentina,Formosa,Las Lomitas,Este,2001,,,,,,,,,-60.58692,-24.70832,2,,,Salomón et al. 2002a,,
72,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Oeste,2001,,0,60° 36’ LO,24°41’ LS,,,,,-60.58692,-24.70832,2,,,Salomón et al. 2002a,,
