unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,year_of_pub,obs,n
1698,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Chapada dos Guimarães,Rio Manso (Vale da Benção?),1993,1995,,,,5103007,-55.745005,-15.46057,6489.164,-55.78802,-14.86719,2,,,Biancardi & Castellon 2000,2000,,
1703,L. complexa,MF,L_complexa,Brazil,Mato Grosso,Chapada dos Guimarães,,1993,1995,,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Biancardi & Castellon 2000 ,2000,,
1704,L. complexa,,L_complexa,Brazil,Mato Grosso,Chapada dos Guimarães,,1990,1990,0,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Collection data: INPA (Rui Freitas),,,
1705,L. cruzi,MF,L_cruzi,Brazil,Mato Grosso,Chapada dos Guimarães,,1993,1995,,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Biancardi & Castellon 2000 ,2000,,
1708,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Chapada dos Guimarães,,1990,1990,0,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Collection data: INPA (Rui Freitas),,tese da Cecri Biancardi,
1710,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso,Chapada dos Guimarães,,1993,1995,,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Biancardi & Castellon 2000 ,2000,"Coletas realizadas na primeira semana do mês, por 8 dias consecutivos, durante 3 anos, com diversos tipos de armadilha",
1711,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso,Chapada dos Guimarães,,1990,1990,0,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Collection data: INPA (Rui Freitas),,tese da Cecri Biancardi,
1713,L. umbratilis,,L_umbratilis,Brazil,Mato Grosso,Chapada dos Guimarães,,1990,1990,0,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Collection data: INPA (Rui Freitas),,tese da Cecri Biancardi,
1715,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Chapada dos Guimarães,,1993,1995,,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Biancardi & Castellon 2000 ,2000,"Coletas realizadas na primeira semana do mês, por 8 dias consecutivos, durante 3 anos, com diversos tipos de armadilha",
1716,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Chapada dos Guimarães,,1990,1990,0,,,5103007,-55.745005,-15.46057,6489.164,-55.745005,-15.46057,3,,IBGE 2015 (Municipality admin center),Collection data: INPA (Rui Freitas),,tese da Cecri Biancardi,
1727,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Colíder,,1987,1987,0,,,5103205,-55.464231,-10.80409,3093.171,-55.464231,-10.80409,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
1732,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Comodoro,,1996,2001,,,,5103304,-59.790431,-13.66056,21589.294,-59.790431,-13.66056,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
