"cv_0","pa","lon","lat","bio10_SA","bio13_SA","bio15_SA","bio2_SA","bio3_SA"
9,0,-39.5625,-9.43749999999999,25.2540000279744,90,82.7482639798226,11.1146670977275,64.3507810122446
4,0,-62.3958333333333,-34.7708333333333,23.0933335622152,153,55.090318403674,12.3856669068336,44.1966415666966
5,0,-52.0208333333333,-21.3541666666667,25.6466665267944,181,54.8031653703647,11.8976662953695,62.9372974921822
6,0,-44.0625,-16.4375,22.4246665636698,233,94.1584444339444,12.9519999027252,70.1929301373633
5,0,-48.7708333333333,-22.2291666666667,24.0640004475911,213,68.1944261715127,12.0779999097188,62.3992557503804
8,0,-67.1875,-24.1875,9.50466663398159,25,119.73467519534,18.660333286932,67.9644997959099
4,0,-54.2291666666667,-32.9791666666667,22.2893333435059,135,10.6313703837724,11.2723333040873,48.3293308642911
2,0,-62.9791666666667,-19.9791666666667,27.0493335723877,103,82.8788839081114,12.9223330815633,61.1621237514038
10,0,-43.9791666666667,-17.3541666666667,23.5113336245219,222,92.1280816710502,13.4533332188924,68.0561149772518
9,0,-66.5625,-27.0625,19.6459997495015,37,111.678673458025,15.248666399469,54.8987143070167
5,0,-53.6875,-15.3125,23.8959999084473,320,81.4689158484094,14.8049998283386,70.6075871045303
9,0,-62.2708333333333,-34.3958333333333,22.9420000712077,153,48.8763540584538,11.6709999640783,43.6462219588423
5,0,-61.0208333333333,-31.6041666666667,24.2766663233439,144,49.7795199199901,12.5160003503164,47.7709949206953
5,0,-51.2291666666667,-8.93749999999999,25.9226668675741,299,71.8512751831167,13.2536667188009,87.7726250594362
5,0,-46.5625,-15.8958333333333,22.3073326746623,278,87.6826755583929,11.4370000362396,67.1816217268775
3,0,-54.6041666666667,-6.22916666666666,26.0913330713908,342,65.2110775048149,11.2666668891907,88.5465739155253
9,0,-48.9791666666667,-21.8125,24.489333152771,223,70.2921052532683,12.1586668491364,61.2589032187758
9,0,-48.3125,-9.81249999999999,25.2293332417806,263,78.7467200992647,12.3696662584941,81.4008091212004
7,0,-52.3541666666667,-19.6041666666667,25.3013334274292,264,66.8209939623647,12.4300002257029,65.3660094675681
9,0,-46.3125,-7.81249999999999,25.7126665115356,202,76.7689283346141,12.9243329366048,84.4286154947857
9,0,-51.1458333333333,-22.7708333333333,25.0533332824707,185,49.4821330804002,12.3103329340617,62.4636331423146
10,0,-63.1458333333333,-25.9375,27.2493333816528,116,83.3138363134397,12.8296664555868,47.9362835973725
3,0,-59.3958333333333,-22.7291666666667,28.3980000813802,91,49.4439044086111,13.55366675059,57.7046417264276
9,0,-52.8958333333333,-14.6875,24.9973332087199,286,81.5613826857925,15.3509997526805,71.6532887840152
2,0,-49.1458333333333,-16.8541666666667,24.2086664835612,290,80.0567609443442,11.6283334891001,69.2822561663772
8,0,-46.6875,-21.0208333333333,21.3740000724792,275,75.7673756711114,12.2016665140788,60.4162529914669
2,0,-61.3125,-18.1458333333333,27.8306662241618,127,53.4063096876118,11.470999399821,65.864731690154
7,0,-57.1875,-14.1458333333333,24.3066671689351,325,76.3276782925665,15.2040007909139,76.2640421107894
5,0,-67.9375,-19.6458333333333,11.1539998650551,57,147.129419352615,17.8836664979657,66.8698293589057
8,0,-52.5625,-28.8958333333333,21.6780001322428,161,12.9840096330832,11.2283331155777,53.3970583763395
5,0,-56.3541666666667,-20.6458333333333,26.7446664174398,196,48.3598691897729,11.4923328558604,62.1879498946658
7,0,-58.2291666666667,-28.4375,26.0960000356038,147,31.0082623192641,10.6840003331502,46.8678720296496
2,0,-55.4791666666667,-30.5208333333333,24.158000310262,148,10.7844838384432,11.2610000371933,48.681482432615
1,0,-48.6041666666667,-4.64583333333333,26.5193332036336,342,77.0714038894809,11.5490002632141,85.0441730928483
5,0,-60.8541666666667,-33.0208333333333,23.3726663589478,141,45.7985468682832,12.2213333845139,46.6036211767997
6,0,-39.7291666666667,-13.2708333333333,22.8859999974569,109,20.2038455572974,7.01033314069112,61.8195154000179
7,0,-68.2291666666667,-29.3125,22.3680000305176,33,90.3762857874669,17.0399999469519,54.4200312555096
8,0,-55.2708333333333,-29.8958333333333,24.3279997507731,160,9.00312777815405,10.8356666564941,48.6690044481815
3,0,-63.0208333333333,-14.7708333333333,26.6680002212524,217,68.109773291882,10.7129999796549,73.5782992624001
2,0,-44.3541666666667,-14.3958333333333,25.3960002263387,212,94.1198191081699,12.7203330993652,73.2738055998699
8,0,-46.8125,-18.4791666666667,22.295999844869,330,87.5242136765021,10.368333419164,66.3615827413104
7,0,-64.3125,-33.7708333333333,23.4406665166219,120,61.5644378677499,13.540333489577,47.323967593394
6,0,-41.2291666666667,-12.0625,21.9360001881917,104,37.3722799877887,10.7599999109904,72.4091531600774
10,0,-54.9791666666667,-12.0625,25.3700002034505,319,85.9991973006332,14.4409998257955,74.9014524159956
1,0,-67.9791666666667,-23.3958333333333,16.7560002803802,16,120.813160263163,16.4160002022982,61.8724577645247
8,0,-62.8125,-29.1041666666667,25.71466700236,122,67.7807918066458,13.2900000413259,49.4493213483439
1,0,-47.2708333333333,-7.10416666666666,26.2540000279744,274,72.707334900478,12.3586665789286,83.2794342337159
8,0,-49.8541666666667,-28.8958333333333,22.4573335647583,159,18.159650555749,9.48933362960815,52.4852498291641
2,0,-55.3125,-9.72916666666666,27.0926666259766,355,71.8789354256453,11.7690002123515,79.007789236609
6,0,-65.8958333333333,-28.9791666666667,27.0233338673909,96,84.9878265362226,14.1903338034948,47.1941373020832
7,0,-60.9791666666667,-22.2291666666667,28.3313325246175,101,67.420447690043,13.6639999548594,56.8102464270683
5,0,-48.5625,-20.6875,24.0606667200724,245,80.5120992732726,11.8053334554036,64.9358333101647
1,0,-50.0625,-4.39583333333333,26.8013334274292,370,75.8067586414308,11.1883333524068,87.7103551063541
3,0,-42.7708333333333,-12.8125,23.8953336079915,155,90.2069328799342,12.8049999078115,77.8892958311921
2,0,-60.4375,-19.7291666666667,28.5133330027262,86,56.0277541613408,12.4213331540426,63.0140686959662
1,0,-58.9375,-22.8541666666667,28.1846663157145,113,46.8453978514956,13.0546666781108,58.0001224788851
6,0,-45.3541666666667,-13.8125,24.3906669616699,230,94.7447435442608,11.7923336823781,74.9385716614086
