"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"11",0.70167513,0.70167513,0.24126597,0.08951132,0.44838317,0.2765906,"L_neivai","maxent",1,10,6,61,0.52403975384137,5.3351172613235e-06,0.918032786885246,NA,1.83606557377049,1.798896822567,0,0.751366120218579,0.577731092436975,"spec_sens",0.0895522388059701,0.5,0.982456140350877,0.833333333333333,0.918032786885246,0.0819672131147541,0.166666666666667,0.91044776119403,0.577731092436975,0.625,0.454545454545455
"12",0.7735,0.57216667,0.57216667,0.0879,0.59953333,0.5941,"L_neivai","rf",1,10,6,61,0.474810967641244,4.9144048483177e-05,0.918032786885246,NA,1.83606557377049,1.7848939517033,0,0.819672131147541,0.522565320665083,"spec_sens",0.0895522388059701,0.352941176470588,1,1,0.819672131147541,0.180327868852459,0,0.835820895522388,0.448765893792072,0.521739130434783,0.352941176470588
"13",0.03751234,0.02683692,0.02683692,0.07565076,0.02826423,0.02704182,"L_neivai","svme",1,10,6,61,0.54275955986527,2.0856199119291e-06,0.912568306010929,NA,1.82513661202186,1.70136565375208,0,0.770491803278688,0.645502645502645,"spec_sens",0.0895522388059701,0.3,1,1,0.770491803278688,0.229508196721311,0,0.791044776119403,0.375499334221038,0.461538461538461,0.3
"14",0.03739587,0.02485119,0.02490977,0.08328734,0.02674795,0.02526243,"L_neivai","svmk",1,10,6,61,0.498142723669852,1.79039201388736e-05,0.89344262295082,NA,1.78688524590164,1.62939231150112,0,0.672131147540984,0.57433290978399,"spec_sens",0.0895522388059701,0.230769230769231,1,1,0.672131147540984,0.327868852459016,0,0.701492537313433,0.268558951965066,0.375,0.230769230769231
"15",0.38171818,0.38171818,-1e-04,0.07262727,0.03626364,0.03626364,"L_neivai","bioclim",1,2,6,61,0.280767310544054,0.0213671116992371,0.609289617486339,NA,1.21857923497268,1.83507805599212,0,0.316939890710382,0.409171075837743,"spec_sens",0.0895522388059701,0.666666666666667,0.9375,0.333333333333333,0.983606557377049,0.0163934426229508,0.666666666666667,0.925373134328358,0.409171075837743,0.444444444444444,0.285714285714286
"16",0.05652661,0.05652661,-1.10832684,0.05652661,0.05652661,-1.04613196,"L_neivai","brt",1,2,6,61,0.322273874714446,0.00782223620508734,0.844262295081967,NA,1.68852459016393,1.70259383431087,0,0.653005464480874,0.372854914196568,"spec_sens",0.0895522388059701,0.3125,0.980392156862745,0.833333333333333,0.819672131147541,0.180327868852459,0.166666666666667,0.82089552238806,0.372854914196568,0.454545454545455,0.294117647058824
"17",0.13185781,0.13185781,0.05847183,0.09032094,0.13185781,0.06037871,"L_neivai","glm",1,2,6,61,0.265095448848119,0.0301575479448949,0.792349726775956,NA,1.58469945355191,1.50889831707569,0,0.653005464480874,0.372854914196568,"spec_sens",0.0895522388059701,0.3125,0.980392156862745,0.833333333333333,0.819672131147541,0.180327868852459,0.166666666666667,0.82089552238806,0.372854914196568,0.454545454545455,0.294117647058824
"18",0.3995323,0.33544402,0.33544402,0.08836417,0.3995323,0.35609956,"L_neivai","maxent",1,2,6,61,0.387046072730334,0.00121390381492849,0.871584699453552,NA,1.7431693989071,1.75254032745923,0,0.770491803278688,0.399348003259984,"spec_sens",0.0895522388059701,0.3,1,1,0.770491803278688,0.229508196721311,0,0.791044776119403,0.375499334221038,0.461538461538461,0.3
"19",0.5101,0.38893333,0.38893333,0.09846667,0.5101,0.3899,"L_neivai","rf",1,2,6,61,0.346291365602372,0.00409737815721301,0.849726775956284,NA,1.69945355191257,1.75274285965009,0,0.672131147540984,0.399348003259984,"spec_sens",0.0895522388059701,0.230769230769231,1,1,0.672131147540984,0.327868852459016,0,0.701492537313433,0.268558951965066,0.375,0.230769230769231
"20",0.03004345,0.03004345,0.0224637,0.05699283,0.02784398,0.02278217,"L_neivai","svme",1,2,6,61,0.531157647594,3.75761326600952e-06,0.887978142076503,NA,1.77595628415301,1.58646895940275,0,0.784153005464481,0.681710213776722,"spec_sens",0.0895522388059701,0.625,0.983050847457627,0.833333333333333,0.950819672131147,0.0491803278688525,0.166666666666667,0.940298507462687,0.681710213776722,0.714285714285714,0.555555555555556
